"statistic"	"source"	"condition"	"score"	"p_value"
"mlm"	"Hypoxia"	"CHD1g2MAP3K7g1_CTRL"	0.54679977182025	0.584525035865109
"mlm"	"JAK-STAT"	"CHD1g2MAP3K7g1_CTRL"	0.597474834000887	0.550200090857196
"mlm"	"MAPK"	"CHD1g2MAP3K7g1_CTRL"	-0.404641310718292	0.685747384931681
"mlm"	"NFkB"	"CHD1g2MAP3K7g1_CTRL"	0.434807286146393	0.663709033928359
"mlm"	"PI3K"	"CHD1g2MAP3K7g1_CTRL"	0.425406460340954	0.670546952009072
"mlm"	"TGFb"	"CHD1g2MAP3K7g1_CTRL"	-3.33148157701543	0.00086609127117362
"mlm"	"TNFa"	"CHD1g2MAP3K7g1_CTRL"	-1.11693657985486	0.264040657530128
"mlm"	"Trail"	"CHD1g2MAP3K7g1_CTRL"	-0.379904142761399	0.70402234882375
"mlm"	"VEGF"	"CHD1g2MAP3K7g1_CTRL"	0.53463487598461	0.592910873171378
"mlm"	"WNT"	"CHD1g2MAP3K7g1_CTRL"	-1.11063574679471	0.266744290269567
"mlm"	"p53"	"CHD1g2MAP3K7g1_CTRL"	1.23852502245149	0.215542266432735
"mlm"	"Androgen"	"CHD1g2MAP3K7g1_IFNg"	-1.50940902222791	0.131216910784418
"mlm"	"EGFR"	"CHD1g2MAP3K7g1_IFNg"	2.67950775347852	0.00738169229641233
"mlm"	"Estrogen"	"CHD1g2MAP3K7g1_IFNg"	1.88062816341599	0.0600433084102048
"mlm"	"Hypoxia"	"CHD1g2MAP3K7g1_IFNg"	-2.30209599242567	0.0213443976423134
"mlm"	"JAK-STAT"	"CHD1g2MAP3K7g1_IFNg"	-14.0749540490298	1.09348714138909e-44
"mlm"	"MAPK"	"CHD1g2MAP3K7g1_IFNg"	-3.01672047314604	0.00255985291671267
"mlm"	"NFkB"	"CHD1g2MAP3K7g1_IFNg"	-2.5206647937378	0.0117243838124134
"mlm"	"PI3K"	"CHD1g2MAP3K7g1_IFNg"	0.377100089369381	0.706104954396332
"mlm"	"TGFb"	"CHD1g2MAP3K7g1_IFNg"	-3.85301963142713	0.000117191799067527
"mlm"	"TNFa"	"CHD1g2MAP3K7g1_IFNg"	-1.02535451773221	0.305213699396484
"mlm"	"Trail"	"CHD1g2MAP3K7g1_IFNg"	1.69821925858049	0.0894886627846285
"mlm"	"VEGF"	"CHD1g2MAP3K7g1_IFNg"	-0.668052314224382	0.504111239166539
"mlm"	"WNT"	"CHD1g2MAP3K7g1_IFNg"	0.2597765790722	0.795039947301909
"mlm"	"p53"	"CHD1g2MAP3K7g1_IFNg"	-1.37933649805119	0.167813114268629
"mlm"	"Androgen"	"CHD1g2MAP3K7g1CDX2g1_CTRL"	0.505802097251909	0.613003569025997
"mlm"	"EGFR"	"CHD1g2MAP3K7g1CDX2g1_CTRL"	0.0655436095537303	0.94774212368866
"mlm"	"Estrogen"	"CHD1g2MAP3K7g1CDX2g1_CTRL"	1.15266218908131	0.249068795225554
"mlm"	"Hypoxia"	"CHD1g2MAP3K7g1CDX2g1_CTRL"	0.380653114899938	0.703466452510068
"mlm"	"JAK-STAT"	"CHD1g2MAP3K7g1CDX2g1_CTRL"	0.86693273067334	0.38599376266104
"mlm"	"MAPK"	"CHD1g2MAP3K7g1CDX2g1_CTRL"	0.339879886718019	0.733952095186743
"mlm"	"NFkB"	"CHD1g2MAP3K7g1CDX2g1_CTRL"	0.606555403550906	0.544155862976259
"mlm"	"PI3K"	"CHD1g2MAP3K7g1CDX2g1_CTRL"	1.08521704148113	0.277844270035643
"mlm"	"TGFb"	"CHD1g2MAP3K7g1CDX2g1_CTRL"	-3.57322817658184	0.000353794890348715
"mlm"	"TNFa"	"CHD1g2MAP3K7g1CDX2g1_CTRL"	-0.673806630786784	0.500445409809205
"mlm"	"Trail"	"CHD1g2MAP3K7g1CDX2g1_CTRL"	-0.222066311393724	0.824265509731044
"mlm"	"VEGF"	"CHD1g2MAP3K7g1CDX2g1_CTRL"	0.928608301085204	0.353108166913857
"mlm"	"WNT"	"CHD1g2MAP3K7g1CDX2g1_CTRL"	-0.311456686645821	0.755458114368905
"mlm"	"p53"	"CHD1g2MAP3K7g1CDX2g1_CTRL"	0.777204101671813	0.437051526638121
"mlm"	"Androgen"	"CHD1g2MAP3K7g1CDX2g1_IFNg"	-0.83414115394305	0.404215713520731
"mlm"	"EGFR"	"CHD1g2MAP3K7g1CDX2g1_IFNg"	0.443533397624874	0.657386838648103
"mlm"	"Estrogen"	"CHD1g2MAP3K7g1CDX2g1_IFNg"	2.84492807363161	0.00444860572998264
"mlm"	"Hypoxia"	"CHD1g2MAP3K7g1CDX2g1_IFNg"	0.278958247086392	0.780280997651482
"mlm"	"JAK-STAT"	"CHD1g2MAP3K7g1CDX2g1_IFNg"	-6.75352586026315	1.49999312239116e-11
"mlm"	"MAPK"	"CHD1g2MAP3K7g1CDX2g1_IFNg"	-0.79536627867086	0.426413986638538
"mlm"	"NFkB"	"CHD1g2MAP3K7g1CDX2g1_IFNg"	-1.66404099307854	0.096126671887769
"mlm"	"PI3K"	"CHD1g2MAP3K7g1CDX2g1_IFNg"	1.66086192238278	0.0967636281811852
"mlm"	"TGFb"	"CHD1g2MAP3K7g1CDX2g1_IFNg"	-2.38296060463164	0.0171873240933418
"mlm"	"TNFa"	"CHD1g2MAP3K7g1CDX2g1_IFNg"	-0.987282550134507	0.323521246381369
"mlm"	"Trail"	"CHD1g2MAP3K7g1CDX2g1_IFNg"	0.582439511919664	0.560280076310775
"mlm"	"VEGF"	"CHD1g2MAP3K7g1CDX2g1_IFNg"	-0.386455498376776	0.699165242007987
"mlm"	"WNT"	"CHD1g2MAP3K7g1CDX2g1_IFNg"	2.27465520998161	0.0229417153382174
"mlm"	"p53"	"CHD1g2MAP3K7g1CDX2g1_IFNg"	-0.160606466191072	0.872405684611252
"mlm"	"Androgen"	"DKO_vs_TKO_CTRL"	-0.161019797825601	0.872080136696574
"mlm"	"EGFR"	"DKO_vs_TKO_CTRL"	0.380520674790352	0.703564739658844
"mlm"	"Estrogen"	"DKO_vs_TKO_CTRL"	-0.142400056192322	0.886766072140502
"mlm"	"Hypoxia"	"DKO_vs_TKO_CTRL"	-0.0998386972829998	0.920473818526646
"mlm"	"JAK-STAT"	"DKO_vs_TKO_CTRL"	-0.110273497154201	0.912194059734084
"mlm"	"MAPK"	"DKO_vs_TKO_CTRL"	-0.455277756327629	0.648916504246973
"mlm"	"NFkB"	"DKO_vs_TKO_CTRL"	-0.591165582714312	0.554419048195604
"mlm"	"PI3K"	"DKO_vs_TKO_CTRL"	-0.738532677511285	0.460203227698715
"mlm"	"TGFb"	"DKO_vs_TKO_CTRL"	0.168509802709958	0.866184672684152
"mlm"	"TNFa"	"DKO_vs_TKO_CTRL"	0.420618229598255	0.674040351700672
"mlm"	"Trail"	"DKO_vs_TKO_CTRL"	0.166681437176616	0.867623125195071
"mlm"	"VEGF"	"DKO_vs_TKO_CTRL"	-0.0381969620375643	0.969531189018415
"mlm"	"WNT"	"DKO_vs_TKO_CTRL"	-0.0996984343697805	0.920585174509343
"mlm"	"p53"	"DKO_vs_TKO_CTRL"	-0.0363260711335226	0.971022881065613
"mlm"	"Androgen"	"DKO_vs_TKO_IFNg"	-1.20371228063914	0.228721205785939
"mlm"	"EGFR"	"DKO_vs_TKO_IFNg"	1.28262085616466	0.199646226473107
"mlm"	"Estrogen"	"DKO_vs_TKO_IFNg"	0.0808203435487744	0.935585987248255
"mlm"	"Hypoxia"	"DKO_vs_TKO_IFNg"	-1.17377505890577	0.240505152486133
"mlm"	"JAK-STAT"	"DKO_vs_TKO_IFNg"	-4.29754481108957	1.73869835847312e-05
"mlm"	"MAPK"	"DKO_vs_TKO_IFNg"	-1.46531416973768	0.142857733713488
"mlm"	"NFkB"	"DKO_vs_TKO_IFNg"	-0.929566430704918	0.352611681263842
"mlm"	"PI3K"	"DKO_vs_TKO_IFNg"	-0.317276628249434	0.751038452725616
"mlm"	"TGFb"	"DKO_vs_TKO_IFNg"	-1.49132478362701	0.135898830640813
"mlm"	"TNFa"	"DKO_vs_TKO_IFNg"	0.0755884239442386	0.939747629131673
"mlm"	"Trail"	"DKO_vs_TKO_IFNg"	0.976574728597311	0.328796650211318
"mlm"	"VEGF"	"DKO_vs_TKO_IFNg"	-0.435369883605861	0.663300694834216
"mlm"	"WNT"	"DKO_vs_TKO_IFNg"	-0.585379406365067	0.558302090749478
"mlm"	"p53"	"DKO_vs_TKO_IFNg"	-0.507813690078933	0.611592027559691
